Area,Perimeter,Circularity,AspectRatio,Compactness,Hu_M1,Signature_Mean,Class
121801.0,1396.0,0.785,1.0,16.0,0.77815,246.781,Cars
121801.0,1396.0,0.785,1.0,16.0,0.77815,246.781,Cars
35635.5,970.5,0.475,2.194,26.431,0.62484,114.309,Cars
23578.5,917.9,0.352,2.537,35.732,0.59004,105.413,Cars
121801.0,1396.0,0.785,1.0,16.0,0.77815,246.781,Cars
121801.0,1396.0,0.785,1.0,16.0,0.77815,246.781,Kitchen_tool
121801.0,1396.0,0.785,1.0,16.0,0.77815,246.781,Kitchen_tool
121598.0,1398.8,0.781,1.0,16.092,0.77829,225.944,Kitchen_tool
119621.5,1943.5,0.398,1.006,31.575,0.77645,190.693,Kitchen_tool
28609.0,2968.3,0.041,1.02,307.981,0.19724,163.644,cabin
12909.0,1225.2,0.108,0.72,116.282,0.57412,69.369,cabin
3222.0,491.0,0.168,0.101,74.822,-0.01409,58.791,cabin
1345.5,220.5,0.348,1.179,36.125,0.72866,19.43,cabin
1005.0,143.1,0.617,1.079,20.363,0.73241,18.705,cabin
655.5,353.2,0.066,0.04,190.327,-0.49567,60.148,cabin
403.0,194.4,0.134,4.5,93.801,-0.04559,27.694,cabin
396.0,369.1,0.037,0.028,344.051,-0.79454,46.119,cabin
344.5,88.2,0.557,0.633,22.573,0.71666,11.362,cabin
245.5,134.0,0.172,8.857,73.186,-0.08382,21.151,cabin
209.5,73.7,0.485,0.464,25.926,0.65056,9.589,cabin
193.5,74.0,0.444,1.615,28.332,0.63148,7.093,cabin
183.0,57.0,0.709,1.667,17.736,0.71252,7.659,cabin
99.0,48.6,0.526,1.231,23.885,0.72775,5.73,cabin
79.0,70.3,0.201,0.81,62.53,0.43015,6.669,cabin
13171.0,1479.2,0.076,0.417,166.116,0.19605,74.598,cabin
7403.5,1249.4,0.06,0.737,210.836,0.45206,48.018,cabin
4742.0,459.7,0.282,1.075,44.561,0.6395,41.779,cabin
4525.5,307.2,0.603,0.582,20.855,0.71618,43.401,cabin
3820.5,306.4,0.511,0.511,24.571,0.68593,38.282,cabin
3332.5,669.6,0.093,0.107,134.535,-0.10121,52.45,cabin
2099.0,360.0,0.203,0.233,61.752,0.16379,39.091,cabin
1914.5,259.8,0.356,0.558,35.266,0.59744,24.724,cabin
1689.0,440.5,0.109,0.418,114.859,0.01571,33.436,cabin
1567.5,345.3,0.165,0.219,76.064,0.29324,25.881,cabin
1159.0,197.3,0.374,0.612,33.572,0.55581,21.093,cabin
1083.5,234.7,0.247,0.341,50.826,0.23399,23.63,cabin
1082.5,259.2,0.202,0.226,62.071,0.03733,39.661,cabin
801.5,194.2,0.267,1.926,47.046,0.53418,14.823,cabin
785.0,153.9,0.416,0.356,30.188,0.51806,18.357,cabin
766.0,151.3,0.42,0.327,29.89,0.46499,20.395,cabin
611.5,117.0,0.561,0.833,22.391,0.72661,13.607,cabin
580.0,119.3,0.512,1.625,24.544,0.61581,13.469,cabin
560.0,155.8,0.29,0.404,43.345,0.46124,15.759,cabin
556.0,142.1,0.346,0.172,36.339,0.25474,21.188,cabin
555.0,199.9,0.174,0.698,72.03,0.51444,12.232,cabin
502.5,160.9,0.244,0.396,51.501,0.34765,14.618,cabin
497.5,138.9,0.324,0.316,38.764,0.33235,14.724,cabin
497.0,121.8,0.421,0.583,29.849,0.63471,11.498,cabin
471.5,118.4,0.423,0.28,29.724,0.39351,15.328,cabin
462.0,143.0,0.284,0.159,44.244,0.15875,19.535,cabin
431.0,123.0,0.358,0.32,35.085,0.29647,14.526,cabin
430.0,87.0,0.714,0.92,17.59,0.7769,11.714,cabin
424.5,125.2,0.34,0.391,36.934,0.41545,12.307,cabin
272.5,92.0,0.404,0.472,31.089,0.37811,10.015,cabin
232.5,80.2,0.454,0.265,27.694,0.39054,13.735,cabin
218.5,81.1,0.418,0.4,30.08,0.42825,10.326,cabin
198.5,61.1,0.669,0.889,18.789,0.73658,8.569,cabin
194.5,78.7,0.394,0.68,31.867,0.50564,7.688,cabin
194.0,62.8,0.618,0.545,20.347,0.63117,8.089,cabin
164.5,54.7,0.69,1.133,18.208,0.70892,7.161,cabin
150.0,58.5,0.551,0.435,22.804,0.55124,7.127,cabin
147.0,49.3,0.76,0.706,16.543,0.73517,6.758,cabin
147.0,57.7,0.556,0.455,22.614,0.59558,7.334,cabin
143.5,51.9,0.669,0.579,18.77,0.66771,6.826,cabin
131.0,49.7,0.668,0.647,18.823,0.68606,7.111,cabin
123.5,63.9,0.38,0.833,33.062,0.53388,5.901,cabin
121.0,49.7,0.617,0.474,20.379,0.61608,6.593,cabin
117.0,44.5,0.743,1.167,16.914,0.74555,6.125,cabin
116.0,46.5,0.675,0.588,18.628,0.66309,6.229,cabin
116.0,49.7,0.591,0.474,21.257,0.57853,7.059,cabin
108.5,56.2,0.431,0.292,29.154,0.40645,7.684,cabin
108.0,46.8,0.619,0.444,20.305,0.59771,7.159,cabin
99.5,44.2,0.639,0.562,19.672,0.64502,5.583,cabin
95.5,40.2,0.741,1.556,16.958,0.71642,6.113,cabin
95.5,40.2,0.741,1.091,16.958,0.76815,5.786,cabin
95.0,42.8,0.651,1.667,19.308,0.67851,5.777,cabin
87.5,38.2,0.752,1.444,16.714,0.74006,5.81,cabin
79.0,38.8,0.658,0.692,19.084,0.70476,5.144,cabin
67.0,32.8,0.781,0.727,16.085,0.75316,5.398,cabin
56.5,37.4,0.507,0.312,24.776,0.47472,6.612,cabin
56.0,30.0,0.782,1.125,16.071,0.77429,5.328,cabin
55.5,29.4,0.806,1.125,15.589,0.77641,5.006,cabin
54.0,30.0,0.754,1.429,16.667,0.74339,5.415,cabin
12593.0,1000.0,0.158,0.466,79.408,0.06987,100.312,cabin
5768.0,669.8,0.162,1.363,77.785,0.32458,61.755,cabin
2680.5,481.9,0.145,1.654,86.645,0.423,42.866,cabin
2170.5,326.6,0.256,2.421,49.147,0.46804,25.456,cabin
1639.5,169.4,0.718,1.459,17.494,0.75221,24.573,cabin
1418.0,193.5,0.476,0.904,26.393,0.73083,22.722,cabin
1093.0,171.6,0.466,0.371,26.94,0.43132,22.394,cabin
910.5,216.7,0.244,0.907,51.56,0.52948,17.292,cabin
199.5,156.7,0.102,0.08,123.126,-0.3746,27.165,cabin
149.5,66.9,0.42,0.6,29.91,0.42264,7.332,cabin
95.0,47.3,0.533,2.375,23.564,0.5587,5.796,cabin
